"ID","NAME","SEMI_MAJOR_AXIS","SEMI_MINOR_AXIS","INVERSE_FLATTENING","DEPRECATED"
"1024","CGCS2000","6378137.0","NaN","298.257222101","false"
"7001","Airy 1830","6377563.396","NaN","299.3249646","false"
"7002","Airy Modified 1849","6377340.189","NaN","299.3249646","false"
"7003","Australian National Spheroid","6378160.0","NaN","298.25","false"
"7004","Bessel 1841","6377397.155","NaN","299.1528128","false"
"7005","Bessel Modified","6377492.018","NaN","299.1528128","false"
"7006","Bessel Namibia","6377483.865","NaN","299.1528128","true"
"7007","Clarke 1858","2.0926348E7","2.0855233E7","NaN","false"
"7008","Clarke 1866","6378206.4","6356583.8","NaN","false"
"7009","Clarke 1866 Michigan","2.0926631531E7","2.0855688674E7","NaN","false"
"7010","Clarke 1880 (Benoit)","6378300.789","6356566.435","NaN","false"
"7011","Clarke 1880 (IGN)","6378249.2","6356515.0","NaN","false"
"7012","Clarke 1880 (RGS)","6378249.145","NaN","293.465","false"
"7013","Clarke 1880 (Arc)","6378249.145","NaN","293.4663077","false"
"7014","Clarke 1880 (SGA 1922)","6378249.2","NaN","293.46598","false"
"7015","Everest 1830 (1937 Adjustment)","6377276.345","NaN","300.8017","false"
"7016","Everest 1830 (1967 Definition)","6377298.556","NaN","300.8017","false"
"7018","Everest 1830 Modified","6377304.063","NaN","300.8017","false"
"7019","GRS 1980","6378137.0","NaN","298.257222101","false"
"7020","Helmert 1906","6378200.0","NaN","298.3","false"
"7021","Indonesian National Spheroid","6378160.0","NaN","298.247","false"
"7022","International 1924","6378388.0","NaN","297.0","false"
"7024","Krassowsky 1940","6378245.0","NaN","298.3","false"
"7025","NWL 9D","6378145.0","NaN","298.25","false"
"7027","Plessis 1817","6376523.0","NaN","308.64","false"
"7028","Struve 1860","6378298.3","NaN","294.73","false"
"7029","War Office","6378300.0","NaN","296.0","false"
"7030","WGS 84","6378137.0","NaN","298.257223563","false"
"7031","GEM 10C","6378137.0","NaN","298.257223563","false"
"7032","OSU86F","6378136.2","NaN","298.257223563","false"
"7033","OSU91A","6378136.3","NaN","298.257223563","false"
"7034","Clarke 1880","2.0926202E7","2.0854895E7","NaN","false"
"7035","Sphere","6371000.0","6371000.0","NaN","true"
"7036","GRS 1967","6378160.0","NaN","298.247167427","false"
"7041","Average Terrestrial System 1977","6378135.0","NaN","298.257","false"
"7042","Everest (1830 Definition)","2.09229318E7","2.085337458E7","NaN","false"
"7043","WGS 72","6378135.0","NaN","298.26","false"
"7044","Everest 1830 (1962 Definition)","6377301.243","NaN","300.8017255","false"
"7045","Everest 1830 (1975 Definition)","6377299.151","NaN","300.8017255","false"
"7046","Bessel Namibia (GLM)","6377397.155","NaN","299.1528128","false"
"7047","GRS 1980 Authalic Sphere","6370997.0","6370997.0","NaN","true"
"7048","GRS 1980 Authalic Sphere","6371007.0","6371007.0","NaN","false"
"7049","IAG 1975","6378140.0","NaN","298.257","false"
"7050","GRS 1967 Modified","6378160.0","NaN","298.25","false"
"7051","Danish 1876","6377019.27","NaN","300.0","false"
"7052","Clarke 1866 Authalic Sphere","6370997.0","6370997.0","NaN","false"
"7053","Hough 1960","6378270.0","NaN","297.0","false"
"7054","PZ-90","6378136.0","NaN","298.257839303","false"
"7055","Clarke 1880 (international foot)","2.0926202E7","2.0854895E7","NaN","false"
"7056","Everest 1830 (RSO 1969)","6377295.664","NaN","300.8017","false"
"7057","International 1924 Authalic Sphere","6371228.0","6371228.0","NaN","false"
"7058","Hughes 1980","6378273.0","6356889.449","NaN","false"
"7059","Popular Visualisation Sphere","6378137.0","6378137.0","NaN","true"
